,vin,stockNum,firstSeen,lastSeen,msrp,askPrice,mileage,isNew,color,interiorColor,brandName,modelName,dealerID,vf_ABS,vf_ActiveSafetySysNote,vf_AdaptiveCruiseControl,vf_AdaptiveDrivingBeam,vf_AdaptiveHeadlights,vf_AdditionalErrorText,vf_AirBagLocCurtain,vf_AirBagLocFront,vf_AirBagLocKnee,vf_AirBagLocSeatCushion,vf_AirBagLocSide,vf_AutoReverseSystem,vf_AutomaticPedestrianAlertingSound,vf_AxleConfiguration,vf_Axles,vf_BasePrice,vf_BatteryA,vf_BatteryA_to,vf_BatteryCells,vf_BatteryInfo,vf_BatteryKWh,vf_BatteryKWh_to,vf_BatteryModules,vf_BatteryPacks,vf_BatteryType,vf_BatteryV,vf_BatteryV_to,vf_BedLengthIN,vf_BedType,vf_BlindSpotMon,vf_BodyCabType,vf_BodyClass,vf_BrakeSystemDesc,vf_BrakeSystemType,vf_BusFloorConfigType,vf_BusLength,vf_BusType,vf_CAN_AACN,vf_CIB,vf_CashForClunkers,vf_ChargerLevel,vf_ChargerPowerKW,vf_CoolingType,vf_CurbWeightLB,vf_CustomMotorcycleType,vf_DaytimeRunningLight,vf_DestinationMarket,vf_DisplacementCC,vf_DisplacementCI,vf_DisplacementL,vf_Doors,vf_DriveType,vf_DriverAssist,vf_DynamicBrakeSupport,vf_EDR,vf_ESC,vf_EVDriveUnit,vf_ElectrificationLevel,vf_EngineConfiguration,vf_EngineCycles,vf_EngineCylinders,vf_EngineHP,vf_EngineHP_to,vf_EngineKW,vf_EngineManufacturer,vf_EngineModel,vf_EntertainmentSystem,vf_ForwardCollisionWarning,vf_FuelInjectionType,vf_FuelTypePrimary,vf_FuelTypeSecondary,vf_GCWR,vf_GCWR_to,vf_GVWR,vf_GVWR_to,vf_KeylessIgnition,vf_LaneDepartureWarning,vf_LaneKeepSystem,vf_LowerBeamHeadlampLightSource,vf_Make,vf_MakeID,vf_Manufacturer,vf_ManufacturerId,vf_Model,vf_ModelID,vf_ModelYear,vf_MotorcycleChassisType,vf_MotorcycleSuspensionType,vf_NCSABodyType,vf_NCSAMake,vf_NCSAMapExcApprovedBy,vf_NCSAMapExcApprovedOn,vf_NCSAMappingException,vf_NCSAModel,vf_NCSANote,vf_Note,vf_OtherBusInfo,vf_OtherEngineInfo,vf_OtherMotorcycleInfo,vf_OtherRestraintSystemInfo,vf_OtherTrailerInfo,vf_ParkAssist,vf_PedestrianAutomaticEmergencyBraking,vf_PlantCity,vf_PlantCompanyName,vf_PlantCountry,vf_PlantState,vf_PossibleValues,vf_Pretensioner,vf_RearCrossTrafficAlert,vf_RearVisibilitySystem,vf_SAEAutomationLevel,vf_SAEAutomationLevel_to,vf_SeatBeltsAll,vf_SeatRows,vf_Seats,vf_SemiautomaticHeadlampBeamSwitching,vf_Series,vf_Series2,vf_SteeringLocation,vf_SuggestedVIN,vf_TPMS,vf_TopSpeedMPH,vf_TrackWidth,vf_TractionControl,vf_TrailerBodyType,vf_TrailerLength,vf_TrailerType,vf_TransmissionSpeeds,vf_TransmissionStyle,vf_Trim,vf_Trim2,vf_Turbo,vf_VIN,vf_ValveTrainDesign,vf_VehicleType,vf_WheelBaseLong,vf_WheelBaseShort,vf_WheelBaseType,vf_WheelSizeFront,vf_WheelSizeRear,vf_Wheels,vf_Windows
535816,3b9aaa1a103f49fa31e17715e51ed525975f3d7d58f26efdcce0ab41c4a0b2c8,,2019-05-11,2019-09-21,36130,36130,0,True,,,CHRYSLER,Pacifica,33678,Standard,,Optional,Optional,,,,1st Row (Driver & Passenger),,,All Rows,Standard,,,2.0,33495.0,,,,,,,,,,,,,,Standard,,Minivan,,Hydraulic,Not Applicable,,Not Applicable,,Optional,,,,,,Not Applicable,Standard,,3600.0,219.68547874103,3.6,4.0,FWD/Front Wheel Drive,,Standard,,Standard,,,V-Shaped,,6.0,287.0,,214.0159,FCA,,,Optional,,Gasoline,,,,Class 2E: 6001 - 7000 lb (2722 - 3175 kg),,Standard,Optional,Optional,,CHRYSLER,477,FCA CANADA INC.,995.0,Pacifica,3628.0,2019.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,Optional,,WINDSOR,WINDSOR ASSEMBLY,CANADA,ONTARIO,,,,Standard,,,Manual,3.0,8.0,Standard,Touring Plus,,Left Hand Drive (LHD),,Direct,115.0,,Standard,Not Applicable,,Not Applicable,,,RU,,,3b9aaa1a103f49fa31e17715e51ed525975f3d7d58f26efdcce0ab41c4a0b2c8,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,121.6,,17.0,17.0,4.0,
1361359,1d0b889961081a3069bb04215031ab128b8b8013f343cc20c8d887dcc6fdf2cc,P1959A,2019-05-31,2019-06-18,8000,7371,102428,False,Black,Charcoal Black,FORD,Focus,7794,,,,,,,,1st Row (Driver & Passenger),,,1st & 2nd Rows,,,,,,,,,,,,,,,,,,Not Applicable,,Not Applicable,Hatchback/Liftback/Notchback,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,2000.0,122.04748818946,2.0,5.0,,,,,,,,In-Line,,4.0,160.0,,119.312,Ford,,,,Stoichiometric gasoline direct injection (SGDI),Gasoline,Flexible Fuel Vehicle (FFV),,,,,,,,,FORD,460,FORD MOTOR COMPANY USA,976.0,Focus,1779.0,2012.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,WAYNE,Michigan Assy,UNITED STATES (USA),MICHIGAN,,,,,,,Manual,,,,SEL,,,,Direct,,,,Not Applicable,,Not Applicable,,,,,,1d0b889961081a3069bb04215031ab128b8b8013f343cc20c8d887dcc6fdf2cc,,PASSENGER CAR,,,,,,,
1233616,fb8dac8231874124a238d37b51eef0105cc525663338e80da1832df712e1e86b,,2018-04-04,2018-11-27,40780,34663,0,True,,,CHEVROLET,Silverado,17687,,,,,,,All Rows,1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,,,Extra/Super/ Quad/Double/King/Extended,Pickup,,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,5300.0,323.42584370208,5.3,4.0,4WD/4-Wheel Drive/4x4,,,,,,,,,8.0,,,,GM,L83 - SIDI: Spark Ignited Direct Injection VVT: Variable Valve Timing AFM E85 MAX ALUM,,,,Gasoline,Ethanol (E85),,,Class 2F: 7001 - 8000 lb (3175 - 3629 kg),,,,,,CHEVROLET,467,GENERAL MOTORS LLC,984.0,Silverado,1850.0,2018.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,FORT WAYNE,GMNA,UNITED STATES (USA),INDIANA,,,,,,,Manual,,,,Work Truck/LS/Fleet/Base,,,,Direct,,,,Not Applicable,,Not Applicable,,,,,,fb8dac8231874124a238d37b51eef0105cc525663338e80da1832df712e1e86b,,TRUCK ,,,,,,,
5589536,1733ab7bbd2df4ee5dad0a09ec870b6838caab9a2122b77a842e5bd90a70e7ca,,2020-01-10,2020-02-12,37986,37782,0,False,,,JEEP,Wrangler,4362,,,,,,,,1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,3600.0,219.68547874103,3.6,4.0,4WD/4-Wheel Drive/4x4,,,,,,,V-Shaped,,6.0,285.0,,212.5245,FCA,,,,,Gasoline,,,,Class 1D: 5001 - 6000 lb (2268 - 2722 kg),,,,,,JEEP,483,FCA US LLC,994.0,Wrangler,1943.0,2019.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,TOLEDO,TOLEDO NORTH ASSEMBLY,UNITED STATES (USA),OHIO,,,,,,,Manual,,,,Unlimited Sahara,,Left Hand Drive (LHD),,Direct,,,,Not Applicable,,Not Applicable,,,JL,,,1733ab7bbd2df4ee5dad0a09ec870b6838caab9a2122b77a842e5bd90a70e7ca,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
2937202,99c3a65b7e78c7a0852f496b9ffdb5ef9083e226863f6d860546e73359c1e596,AP11257,2019-02-17,2019-03-17,0,0,0,False,Ingot Silver Metallic,Charcoal Black,FORD,Fiesta,22394,Standard,,,,,,,1st Row (Driver & Passenger),Driver Seat Only,,1st & 2nd Rows,Standard,,,2.0,14890.0,,,,,,,,,,,,,Not Applicable,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,Standard,,,,,,,Not Applicable,,,1600.0,97.63799055157,1.6,4.0,,,Standard,,Standard,,,In-Line,,4.0,120.0,,89.484,Ford,1.6L Ti-VCT Premium Fuel,,,,Flexible Fuel Vehicle (FFV),,,,,,,,,,FORD,460,FORD MOTOR COMPANY MEXICO,979.0,Fiesta,3267.0,2017.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,CUAUTITLAN,Cuautitlan ,MEXICO,,,,,Standard,,,Manual,2.0,5.0,Standard,SE,,Left Hand Drive (LHD),,Direct,130.0,,Standard,Not Applicable,,Not Applicable,,,,,,99c3a65b7e78c7a0852f496b9ffdb5ef9083e226863f6d860546e73359c1e596,,PASSENGER CAR,,98.0,,15.0,15.0,4.0,
1856119,f5eb6170394e20a4fc4f53115d463b085bb0200c3a6315ef99794ce6f01030a4,PT1211A,2018-10-17,2018-11-11,8432,7998,136174,False,Polished Metal Metallic,Black,HONDA,Accord,37576,,,,,,,All Rows,1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,Not Applicable,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,3474.057568,212.0,3.474057568,4.0,,,,,,,,V-Shaped,,6.0,,,,,J35Z2,,,,Gasoline,,,,Class 1C: 4001 - 5000 lb (1814 - 2268 kg),,,,,,HONDA,474,HONDA OF AMERICA MFG. INC.,988.0,Accord,1861.0,2009.0,Not Applicable,Not Applicable,,,,,,,,,,,,Rear Restraint System: Seat Belt & Side Curtain Air bag (Rr outer positions) / Seat Belt (Rr center position).,,,,MARYSVILLE,,UNITED STATES (USA),OHIO,,,,,,,Manual,,,,,,,,Direct,,,,Not Applicable,,Not Applicable,5.0,Automatic,EX-L-V6,,,f5eb6170394e20a4fc4f53115d463b085bb0200c3a6315ef99794ce6f01030a4,Single Overhead Cam (SOHC),PASSENGER CAR,,,,,,,
3047481,1d5bbb4b694d9f3d133cea571c186e06c33cca49855b10240fded0f6a0e4f389,MP406,2019-03-23,2019-03-29,0,0,0,False,,,CHRYSLER,300C,22524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,U.S. Canada,5700.0,347.83534133997,5.7,4.0,RWD/ Rear Wheel Drive,,,,,,,V-Shaped,,8.0,,,,,,,,,Gasoline,,,,,,,,,,CHRYSLER,477,FCA CANADA INC.,995.0,300C,25754.0,2005.0,Not Applicable,Not Applicable,,,,,,,,Body Style: Sedan Tall,,Engine info: HEMI Multiple Displacement  Sales Code: EZB,,Front generation multi stage sales code (CG1) without side airbags sales code (CGS),,,,,Brampton Assembly,,,,,,,,,Manual,,,,S (Sport),LX - Family,,,,,,,Not Applicable,,Not Applicable,,,Hemi C,,,1d5bbb4b694d9f3d133cea571c186e06c33cca49855b10240fded0f6a0e4f389,,PASSENGER CAR,,,,,,,
5276534,0cd3c9f8611214c68e64fce02e84df386d9fdd4eb50d05bbe7d0f1166d3e47cd,,2019-05-24,2019-10-15,16995,15066,0,False,,,CHEVROLET,Malibu,39170,,,,,,,All Rows,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,1st & 2nd Rows,,,,,,,,,,,,,,,,,,Not Applicable,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,1500.0,91.53561614209,1.5,4.0,,,,,,,,In-Line,,4.0,,,,,LFV - DI: Direct Injection VVT GEN1 GMNA,,,,Gasoline,,,,,,,,,,CHEVROLET,467,GENERAL MOTORS LLC,984.0,Malibu,1834.0,2016.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,FAIRFAX,GMNA,UNITED STATES (USA),KANSAS,,,,,,,Manual,,,,LT (1LT),,,,Direct,,,,Not Applicable,,Not Applicable,,,,,Yes,0cd3c9f8611214c68e64fce02e84df386d9fdd4eb50d05bbe7d0f1166d3e47cd,Dual Overhead Cam (DOHC),PASSENGER CAR,,,,,,,4.0
4325477,5dce63ec5605f9b9e66155c5c4cf27d4598f4c727f4a598f9e85ee15ef07a0e1,,2018-03-23,2018-06-11,60645,47303,0,True,,,CHEVROLET,Silverado,13489,,,,,,,All Rows,1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,,,Crew/ Super Crew/ Crew Max,Pickup,,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,6200.0,378.34721338734,6.2,4.0,4WD/4-Wheel Drive/4x4,,,,,,,,,8.0,,,,GM,L86 - SIDI: Spark Ignited Direct Injection VVT: Variable Valve Timing AFM E85 MAX ALUM,,,,Gasoline,Ethanol (E85),,,Class 2F: 7001 - 8000 lb (3175 - 3629 kg),,,,,,CHEVROLET,467,GENERAL MOTORS LLC,984.0,Silverado,1850.0,2018.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,SILAO,GMNA,MEXICO,,,,,,,,Manual,,,,LTZ,,,,Direct,,,,Not Applicable,,Not Applicable,,,,,,5dce63ec5605f9b9e66155c5c4cf27d4598f4c727f4a598f9e85ee15ef07a0e1,,TRUCK ,,,,,,,
4759565,665ee711ae9ed4f14ccd764cf4025bfe7243c7d27cf0cb119635600f3c9fb803,S4707,2019-08-25,2019-12-18,28314,25981,34931,False,Oxford White,Charcoal,FORD,Transit,33904,,,,,,,,1st Row (Driver & Passenger),,,1st & 2nd & 3rd Rows,,,,,,,,,,,,,,,,,,Not Applicable,,Not Applicable,Wagon,,Hydraulic,,,,,,,,,,,Not Applicable,,,3700.0,225.7878531505,3.7,,,,,,,,,V-Shaped,,6.0,275.0,,205.0675,Ford,,,,,Gasoline,,,,Class 2G: 8001 - 9000 lb (3629 - 4082 kg),,,,,,FORD,460,FORD MOTOR COMPANY USA,976.0,Transit,3608.0,2018.0,Not Applicable,Not Applicable,,,,,,,,SRW: Single Rear Wheel - Roof: Low - Door: Slide,,,,,,,,KANSAS CITY,,UNITED STATES (USA),MISSOURI,,,,,,,Manual,,,,350,,,,,,,,Not Applicable,,Not Applicable,,,,,,665ee711ae9ed4f14ccd764cf4025bfe7243c7d27cf0cb119635600f3c9fb803,,BUS,,148.0,,,,,
564159,fd0061e7591a4cdec5d48ab237227af5e68145e8946f75ca775aad3952055a70,,2018-08-14,2019-04-08,46355,46355,0,True,,,BMW,X2,32100,Standard,,Optional,Optional,,,1st & 2nd Rows,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,1st Row (Driver & Passenger),Standard,,,2.0,38400.0,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,Standard,Optional,,,,,,Not Applicable,Standard,,1997.5831016,121.9,2.0,4.0,,,Standard,,Standard,,,,,4.0,228.0,,170.0196,,,,Optional,,Gasoline,,,,Class 1C: 4001 - 5000 lb (1814 - 2268 kg),,Standard,Optional,,,BMW,452,BMW AG,966.0,X2,24940.0,2018.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,REGENSBURG,,GERMANY,,,Yes,,Standard,,,Manual,2.0,5.0,Standard,,,Left Hand Drive (LHD),,Direct,143.0,,Standard,Not Applicable,,Not Applicable,8.0,Automatic,X2 xDrive28i,,,fd0061e7591a4cdec5d48ab237227af5e68145e8946f75ca775aad3952055a70,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,105.1,,18.0,18.0,4.0,
1591143,ed8f11ea6ba121342aee14140cad0831b7093b6716f11ee779bb44f1b1f41b1d,37222A,2019-05-29,2019-05-29,0,0,120516,False,Red,,DODGE,Magnum,34487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wagon,,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,U.S. Canada,3500.0,213.58310433156,3.5,,RWD/ Rear Wheel Drive,,,,,,,V-Shaped,,6.0,,,,,High Output 24 V MPI,,,,Gasoline,,,,Class 1C: 4001 - 5000 lb (1814 - 2268 kg),,,,,,DODGE,476,FCA CANADA INC.,995.0,Magnum,3680.0,2005.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,BRAMPTON,Brampton Assembly,CANADA,ONTARIO,,,,,,,,,,,LX,H (High Line),,,,,,,Not Applicable,,Not Applicable,,,Base/SXT,,,ed8f11ea6ba121342aee14140cad0831b7093b6716f11ee779bb44f1b1f41b1d,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
1427590,7fd65769ae00bd94b9cd1930bc2cf7b84f013defc7e9864b7dc144dbf2b46823,H12488,2019-02-28,2019-05-27,24077,18627,0,True,Scarlet Red,Black,HYUNDAI,Elantra,4959,Standard,,,,,,1st & 2nd Rows,1st Row (Driver & Passenger),Driver Seat Only,,1st Row (Driver & Passenger),Standard,,,2.0,23700.0,,,,,,,,,,,,,Not Applicable,Standard,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,Standard,,1600.0,97.63799055157,1.6,4.0,,,Standard,,Standard,,,,,4.0,201.0,,149.8857,,G 1.6 DOHC T-GDI,,Standard,,Gasoline,,,,,,Standard,,Standard,,HYUNDAI,498,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),1034.0,Elantra,2735.0,2019.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,ULSAN,Hyundai,SOUTH KOREA,,,,,Standard,,,Manual,2.0,5.0,Standard,Sport,,Left Hand Drive (LHD),,Direct,,,Standard,Not Applicable,,Not Applicable,,,Sport,,,7fd65769ae00bd94b9cd1930bc2cf7b84f013defc7e9864b7dc144dbf2b46823,Dual Overhead Cam (DOHC),PASSENGER CAR,,106.3,,15.0,15.0,4.0,
649407,41cfbb7eabb28b7748864ffbed84368d758591351318eb55d470ed0461e345bc,C19166,2019-02-28,2019-03-07,37015,36265,0,True,Red Tintcoat,Black,CHEVROLET,Colorado,24637,Standard,Rear Park Assist: Optional,,,,,All Rows,1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),Standard,,,2.0,35495.0,,,,,,,,,,,,,,,Crew/ Super Crew/ Crew Max,Pickup,,,Not Applicable,,Not Applicable,Standard,,,,,,,Not Applicable,Standard,,3600.0,219.68547874103,3.6,4.0,4WD/4-Wheel Drive/4x4,,Standard,,Standard,,,V-Shaped,,6.0,,,,,LG2 - DI: Direct Injection VVT: Variable Valve Timing ALUM VAR2 GEN2,,,,Gasoline,,,,Class 1D: 5001 - 6000 lb (2268 - 2722 kg),,,,,,CHEVROLET,467,GENERAL MOTORS LLC,984.0,Colorado,4086.0,2019.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,WENTZVILLE,GMNA,UNITED STATES (USA),MISSOURI,,,,Standard,,,Manual,2.0,4.0,Standard,LT 4WD,,Left Hand Drive (LHD),,,,,Standard,Not Applicable,,Not Applicable,,,,,,41cfbb7eabb28b7748864ffbed84368d758591351318eb55d470ed0461e345bc,Dual Overhead Cam (DOHC),TRUCK ,,128.3,,17.0,17.0,4.0,
5416930,94039e257727be862f202899f1fb0d44d6f08030785877d3c5725e372925b817,,2019-09-17,2019-10-08,28995,28995,0,False,,,NISSAN,Altima,22518,Standard,,Standard,Standard,,,1st & 2nd Rows,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,1st Row (Driver & Passenger),Standard,,,2.0,30090.0,,,,,,,,,,,,,Not Applicable,Standard,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,,,Not Applicable,Standard,,2500.0,152.55936023683,2.5,4.0,4x2,,Standard,,Standard,,,,,,,,,,,CD + stereo,Standard,,Gasoline,,,,Class 1: 6000 lb or less (2722 kg or less),,Standard,Standard,Standard,,NISSAN,478,NISSAN NORTH AMERICA INC,997.0,Altima,1904.0,2019.0,Not Applicable,Not Applicable,,,,,,,,,,,,Driver and Passenger Frontal Air Bags 3-Point Manual Belts Side Air Bags Curtain Side Air Bags and Knee Air Bags; 2nd row outboard 3-Point Manual Belts and Curtain Side Air Bags 2nd row center 3-Point Manual Belts,,,Standard,SMYRNA ,Nissan North America Inc.,UNITED STATES (USA),TENNESSEE,,,,Standard,,,Manual,2.0,5.0,Standard,,,Left Hand Drive (LHD),,Direct,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),Grade SL,,,94039e257727be862f202899f1fb0d44d6f08030785877d3c5725e372925b817,,PASSENGER CAR,,111.2,,17.0,17.0,4.0,
2597264,b5b621f18edc18ddd1aa4b1c8f73b68f1e1a986f4e8e5f5679b96374ed84c44e,,2019-08-18,2019-08-20,44375,44375,0,True,,,FORD,Edge,11881,Standard,,Optional,Standard,,,,1st Row (Driver & Passenger),,,1st & 2nd Rows,Standard,,,2.0,42355.0,,,,,,,,,,,,,,Standard,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,Hydraulic,Not Applicable,,Not Applicable,Standard,Standard,,,,,,Not Applicable,Standard,,2700.0,164.76410905577,2.7,4.0,AWD/All Wheel Drive,,Standard,,Standard,,,V-Shaped,,6.0,315.0,,234.8955,Ford,2.7L GTDI w/premium fuel,,Standard,Stoichiometric gasoline direct injection (SGDI),Gasoline,,,,Class 1D: 5001 - 6000 lb (2268 - 2722 kg),,Standard,Standard,Standard,,FORD,460,FORD MOTOR COMPANY OF CANADA LTD.,977.0,Edge,1797.0,2019.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,Optional,Standard,OAKVILLE,Oakville,CANADA,ONTARIO,,,,Standard,,,Manual,2.0,5.0,Standard,,,Left Hand Drive (LHD),,Direct,130.0,,Standard,Not Applicable,,Not Applicable,,,ST,,,b5b621f18edc18ddd1aa4b1c8f73b68f1e1a986f4e8e5f5679b96374ed84c44e,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,112.2,,20.0,20.0,4.0,
3967652,5c8c0170302147705f5206a1fcc180c33b747d2b891dec8c86e8ea61b183407e,P6257,2018-04-14,2018-06-29,23981,19989,10557,False,Granite Crystal Metallic Clearcoat,Black,JEEP,Compass,11430,Standard,ParkSense Rear Park Assist: Optional; Electronic Roll Mitigation: Standard; Engine Immobilizer: Standard; Front Passenger Seat Belt Alert: Standard: Hill Start Assist: Standard; Latch Ready Child Seat Anchor System: Standard; Panic Alarm; Standard; Rain Brake Support: Standard; Remote-Start System: Optional,,,,,,1st Row (Driver & Passenger),,,All Rows,,,,2.0,24395.0,,,,,,,,,,,,,,Optional,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,Hydraulic,Not Applicable,,Not Applicable,,Optional,,,,,,Not Applicable,Standard,,2400.0,146.45698582735,2.4,4.0,4WD/4-Wheel Drive/4x4,,Optional,,Standard,,,In-Line,,4.0,180.0,,134.226,FCA,,,Optional,,Gasoline,,,,Class 1C: 4001 - 5000 lb (1814 - 2268 kg),,,Optional,Optional,,JEEP,483,CHRYSLER DE MEXICO TOLUCA,1002.0,Compass,1946.0,2018.0,Not Applicable,Not Applicable,,,,,,,,,,,,Active Seat Belt,,,,TOLUCA,Toluca Assembly,MEXICO,STATE OF MEXICO,,,,Standard,,,Manual,,5.0,Optional,,,Left Hand Drive (LHD),,Direct,,,Standard,Not Applicable,,Not Applicable,6.0,Manual/Standard,Longitude(BUX) North(Canada) Latitude(Mex U.S.),,No,5c8c0170302147705f5206a1fcc180c33b747d2b891dec8c86e8ea61b183407e,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,103.8,,17.0,17.0,4.0,
2341586,6c4195f132dab4bcafa65a06e17aa226089eebd68fe0b2747e5512d7b6d8c33b,P27169,2020-03-11,2020-05-07,27998,25900,0,False,Glacier White,Gray,NISSAN,NV,22413,Standard,,,,,,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,,,,Van,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,4000.0,244.09497637892,4.0,,,,,,,,,,,,,,,,,,,,Gasoline,,,,Class 2H: 9001 - 10000 lb (4082 - 4536 kg),,,,,,NISSAN,478,NISSAN NORTH AMERICA INC,997.0,NV,1922.0,2019.0,Not Applicable,Not Applicable,,,,,,,,4-Wheel ABS Model Change Number Code,,,,,,,,CANTON,Nissan North America Inc.,UNITED STATES (USA),MISSISSIPPI,,,,,,,Manual,,,,1500/2500/3500,,,,,,,,Not Applicable,,Not Applicable,,,High Roof,,,6c4195f132dab4bcafa65a06e17aa226089eebd68fe0b2747e5512d7b6d8c33b,,TRUCK ,,,,,,,
1383393,be209cc2ffafbd71d24f735806dc3ce229fbd0e4125aafb952c686abbf6a3dcd,,2020-01-23,2020-05-26,31400,26000,0,True,,,CHEVROLET,Silverado,23084,,,,,,,All Rows,1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,,,,Pickup,,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,4300.0,262.40209960734,4.3,2.0,4x2,,,,,,,V-Shaped,,6.0,,,,,LV3 - GEN 5 SIDI VVT OHV E85 MAX ALUM,,,,Gasoline,,,,Class 2E: 6001 - 7000 lb (2722 - 3175 kg),,,,,,CHEVROLET,467,GENERAL MOTORS LLC,984.0,Silverado,1850.0,2020.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,SILAO,,MEXICO,,,,,,,,Manual,,,,1500 Work Truck,,,,,,,,Not Applicable,,Not Applicable,,,,,,be209cc2ffafbd71d24f735806dc3ce229fbd0e4125aafb952c686abbf6a3dcd,,TRUCK ,,,,,,,
2723561,333ab3e9e39bff1e90ffdc8fac50a3ba22c071f40b2659d190c0c78158e1e3f7,,2019-03-30,2019-06-06,36340,31340,0,True,,,CHEVROLET,Blazer,24684,Standard,,,,,,All Rows,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,1st Row (Driver & Passenger),Standard,,,2.0,34495.0,,,,,,,,,,,,,,Optional,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,Hydraulic,Not Applicable,,Not Applicable,Standard,,,,,,,Not Applicable,Standard,,3600.0,219.68547874103,3.6,4.0,,,Standard,,Standard,,,V-Shaped,,6.0,,,,,LGX,,,,Gasoline,,,,Class 2E: 6001 - 7000 lb (2722 - 3175 kg),,Standard,,,,CHEVROLET,467,GENERAL MOTORS LLC,984.0,Blazer,11502.0,2019.0,Not Applicable,Not Applicable,,,,,,,,,,DI VVT ALUM GEN 2,,,,,,RAMOS ARIZPE,,MEXICO,,,,,Standard,,,Manual,2.0,5.0,Standard,2LT FWD,,Left Hand Drive (LHD),,Direct,130.0,,Standard,Not Applicable,,Not Applicable,,,,,,333ab3e9e39bff1e90ffdc8fac50a3ba22c071f40b2659d190c0c78158e1e3f7,Dual Overhead Cam (DOHC),MULTIPURPOSE PASSENGER VEHICLE (MPV),,112.7,,18.0,18.0,4.0,
